Tanggal,Harga Saham,Keterangan
2013-01-01,4410.0,Historis
2013-02-01,4570.0,Historis
2013-03-01,4560.0,Historis
2013-04-01,5250.0,Historis
2013-05-01,6100.0,Historis
2013-06-01,6150.0,Historis
2013-07-01,6360.0,Historis
2013-08-01,6240.0,Historis
2013-09-01,6030.0,Historis
2013-10-01,6000.0,Historis
2013-11-01,5320.0,Historis
2013-12-01,5200.0,Historis
2014-01-01,5710.0,Historis
2014-02-01,5715.0,Historis
2014-03-01,5850.0,Historis
2014-04-01,5850.0,Historis
2014-05-01,5825.0,Historis
2014-06-01,5855.0,Historis
2014-07-01,6150.0,Historis
2014-08-01,6205.0,Historis
2014-09-01,6360.0,Historis
2014-10-01,6080.0,Historis
2014-11-01,6360.0,Historis
2014-12-01,6460.0,Historis
2015-01-01,7165.0,Historis
2015-02-01,7200.0,Historis
2015-03-01,7930.0,Historis
2015-04-01,8520.0,Historis
2015-05-01,8660.0,Historis
2015-06-01,7900.0,Historis
2015-07-01,8000.0,Historis
2015-08-01,7945.0,Historis
2015-09-01,7600.0,Historis
2015-10-01,7400.0,Historis
2015-11-01,7350.0,Historis
2015-12-01,7400.0,Historis
2016-01-01,7340.0,Historis
2016-02-01,8905.0,Historis
2016-03-01,8585.0,Historis
2016-04-01,8515.0,Historis
2016-05-01,8620.0,Historis
2016-06-01,9015.0,Historis
2016-07-01,9010.0,Historis
2016-08-01,9130.0,Historis
2016-09-01,8910.0,Historis
2016-10-01,8895.0,Historis
2016-11-01,8105.0,Historis
2016-12-01,7760.0,Historis
2017-01-01,8240.0,Historis
2017-02-01,8435.0,Historis
2017-03-01,8665.0,Historis
2017-04-01,8900.0,Historis
2017-05-01,9235.0,Historis
2017-06-01,9760.0,Historis
2017-07-01,9790.0,Historis
2017-08-01,10110.0,Historis
2017-09-01,9795.0,Historis
2017-10-01,9920.0,Historis
2017-11-01,9860.0,Historis
2017-12-01,11180.0,Historis
2018-01-01,9438.42481489283,Forecast
2018-02-01,9480.238118791789,Forecast
2018-03-01,9473.480367786782,Forecast
2018-04-01,9439.24759159944,Forecast
2018-05-01,9371.891213239578,Forecast
2018-06-01,9440.051685327733,Forecast
2018-07-01,9496.728914498377,Forecast
2018-08-01,9650.578207693281,Forecast
2018-09-01,9447.840353781747,Forecast
2018-10-01,9399.212191299745,Forecast
2018-11-01,9476.358732885288,Forecast
2018-12-01,9524.223620003004,Forecast
